x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
371125,5808425,12,14,9,2,1,2,2
371125,5808475,12,14,9,2,1,2,2
371125,5808525,12,15,9,2,1,2,2
371125,5808575,12,14,9,2,1,2,2
371125,5808625,12,14,9,2,1,2,2
371125,5808675,12,14,9,2,1,2,2
371125,5808725,14,16,10,2,2,2,2
371125,5808775,16,19,11,3,2,3,3
371125,5808825,11,15,10,2,1,2,2
371125,5808875,11,15,10,2,1,2,2
371125,5808925,11,15,10,2,1,2,2
371125,5808975,11,15,10,2,1,2,2
371125,5809025,11,15,10,2,1,2,2
371125,5809075,11,15,10,2,1,2,2
371125,5809125,11,15,10,2,1,2,2
371125,5809175,11,15,10,2,1,2,2
371125,5809225,11,15,10,2,1,2,2
371125,5809275,11,15,10,2,1,2,2
371125,5809325,11,15,10,2,1,2,2
371125,5809375,11,15,10,2,1,2,2
371125,5809425,11,15,10,2,1,2,2
371125,5809475,11,15,10,2,1,2,2
371125,5809525,11,15,10,2,1,2,2
371125,5809575,11,15,10,2,1,2,2
371125,5809625,11,15,10,2,1,2,2
